APP NAME,ERROR TYPE,CREATION DATE TIME,FAULT SEVERITY,ERROR COUNT,COMPANY,USER IMPACT,BUSINESS FUNCTION,REVENUE IMPACT,RESPONSE TIME
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company C,589,Logistics,Medium,347
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company D,810,Support,Medium,96
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company A,649,Sales,Medium,1279
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company C,618,Sales,Medium,1160
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company C,607,Logistics,Low,1272
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company D,135,HR,Medium,884
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company A,580,Support,Low,486
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company A,147,HR,Low,1426
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company C,490,Support,High,604
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company B,478,IT,High,412
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company C,159,Support,High,448
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company C,384,Sales,Medium,247
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company C,163,Finance,High,770
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company C,441,Finance,Medium,699
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company D,853,Finance,Medium,421
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company A,189,Finance,High,124
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company D,415,HR,High,1284
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company D,339,HR,Low,1193
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company D,607,Support,Low,941
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company C,181,HR,Medium,877
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company B,288,Support,Medium,1135
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company A,834,IT,High,1314
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company B,187,Support,High,13
App-invoice-v1,MULE:EXPRESSION,9/20/24,P2,1,Company D,884,Finance,Low,1287
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company D,138,Logistics,High,800
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company B,130,Logistics,Medium,1047
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company B,194,Sales,High,945
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company B,316,Sales,Low,200
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company D,984,Support,Medium,1266
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company D,785,Logistics,Low,1263
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company A,864,Finance,Low,303
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company A,144,HR,Medium,1189
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company D,16,Finance,Low,738
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company B,302,Finance,High,176
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company B,423,Support,High,1053
App-invoice-v1,APIKIT:BAD_REQUEST,9/20/24,P3,1,Company A,245,Support,Low,677
App-s-cmpitem-cmap-v3,MULE:RETRY_EXHAUSTED,9/20/24,P3,1,Company D,927,IT,High,535
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company A,107,Finance,Low,1318
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company A,88,Finance,High,477
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company C,129,Support,Low,383
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company C,907,Support,High,556
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company C,887,IT,Medium,1320
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company B,341,IT,Medium,334
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company D,4,Sales,High,1272
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company D,327,Logistics,Low,1265
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company D,410,Finance,High,1130
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company D,879,Finance,Low,898
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company C,306,IT,High,931
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company B,908,IT,High,685
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company B,607,Sales,Medium,561
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company C,721,Logistics,Low,123
App-invoice-v1,MULE:ANY,9/20/24,P2,1,Company B,225,Sales,Low,1059
App-invoice-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company C,971,Logistics,Low,618
App-p-item-v1,HTTP:INTERNAL_SERVER_ERROR,9/20/24,P3,1,Company D,348,HR,Low,988
App-grp-mea-s-item-mic-v1,MULE:EXPRESSION,9/20/24,P2,1,Company C,992,Finance,Low,840
App-p-inventory-wms-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company D,321,Sales,Medium,416
App-p-inventory-wms-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company D,559,IT,High,708
App-p-inventory-wms-v1,INPUT:BAD_REQUEST,9/20/24,P3,1,Company A,988,Sales,Low,637
